File,Line,Method,Endpoint,Full_URL
"src/app/(admin)/pizza/page.tsx",203,GET,"/api/pizza/sauces/{id}","/api/pizza/sauces/${id}"
"src/app/(admin)/pizza/page.tsx",238,GET,"/api/pizza/cheeses/{id}","/api/pizza/cheeses/${id}"
"src/app/(admin)/pizza/page.tsx",270,GET,"/api/pizza/toppings/{id}","/api/pizza/toppings/${id}"
"src/app/(admin)/prep-stations/page.tsx",168,GET,"/api/prep-stations/{id}","/api/prep-stations/${station.id}"
"src/app/(admin)/prep-stations/page.tsx",184,GET,"/api/prep-stations/{id}","/api/prep-stations/${assigningStation.id}"
"src/app/(admin)/prep-stations/page.tsx",96,GET,"/api/menu","/api/menu?locationId=${employee.location.id}"
"src/app/(admin)/reports/commission/page.tsx",76,GET,"/api/reports/commission","/api/reports/commission?${params}"
"src/app/(admin)/reports/coupons/page.tsx",95,GET,"/api/reports/coupons","/api/reports/coupons?${params}"
"src/app/(admin)/reports/datacap/page.tsx",155,GET,"/api/reports/datacap-transactions","/api/reports/datacap-transactions?${params}"
"src/app/(admin)/reports/employees/page.tsx",98,GET,"/api/reports/employees","/api/reports/employees?${params}"
"src/app/(admin)/reports/forecasting/page.tsx",90,GET,"/api/reports/forecasting","/api/reports/forecasting?${params}"
"src/app/(admin)/reports/hourly/page.tsx",66,GET,"/api/reports/hourly","/api/reports/hourly?${params}"
"src/app/(admin)/reports/house-accounts/page.tsx",126,GET,"/api/house-accounts/{id}/payments","/api/house-accounts/${accountId}/payments"
"src/app/(admin)/reports/house-accounts/page.tsx",99,GET,"/api/reports/house-accounts","/api/reports/house-accounts?${params}"
"src/app/(admin)/reports/labor/page.tsx",102,GET,"/api/reports/labor","/api/reports/labor?${params}"
"src/app/(admin)/reports/liquor/page.tsx",146,GET,"/api/reports/liquor","/api/reports/liquor?${params}"
"src/app/(admin)/reports/order-history/page.tsx",130,GET,"/api/reports/order-history","/api/reports/order-history?${params}"
"src/app/(admin)/reports/page.tsx",64,GET,"/api/reports/sales","/api/reports/sales?${params}"
"src/app/(admin)/reports/payroll/page.tsx",112,GET,"/api/reports/payroll","/api/reports/payroll?${params}"
"src/app/(admin)/reports/reservations/page.tsx",119,GET,"/api/reports/reservations","/api/reports/reservations?${params}"
"src/app/(admin)/reports/sales/page.tsx",71,GET,"/api/reports/sales","/api/reports/sales?${params}"
"src/app/(admin)/reports/server-performance/page.tsx",85,GET,"/api/reports/server-performance","/api/reports/server-performance?${params}"
"src/app/(admin)/reports/shift/page.tsx",211,GET,"/api/reports/employee-shift","/api/reports/employee-shift?shiftId=${shiftId}&employeeId=${currentEmployee?.id}&locationId=${currentEmployee?.location?.id}"
"src/app/(admin)/reports/tip-adjustment/page.tsx",83,GET,"/api/reports/tip-adjustment","/api/reports/tip-adjustment?${params}"
"src/app/(admin)/reports/tip-adjustments/page.tsx",55,GET,"/api/payments/tip-eligible","/api/payments/tip-eligible?${params}"
"src/app/(admin)/reports/tips/page.tsx",101,GET,"/api/reports/tips","/api/reports/tips?${params}"
"src/app/(admin)/reports/voids/page.tsx",111,GET,"/api/reports/voids","/api/reports/voids?${params}"
"src/app/(admin)/reports/voids/page.tsx",85,GET,"/api/employees","/api/employees?${params}"
"src/app/(admin)/reservations/page.tsx",109,GET,"/api/tables","/api/tables?locationId=${locationId}"
"src/app/(admin)/reservations/page.tsx",124,GET,"/api/reservations/{id}","/api/reservations/${reservationId}"
"src/app/(admin)/reservations/page.tsx",141,GET,"/api/reservations/{id}","/api/reservations/${id}"
"src/app/(admin)/reservations/page.tsx",532,GET,"/api/bottle-service/tiers","/api/bottle-service/tiers?locationId=${locationId}"
"src/app/(admin)/scheduling/page.tsx",298,GET,"/api/schedules","/api/schedules?locationId=${employee.location.id}"
"src/app/(admin)/scheduling/page.tsx",322,GET,"/api/employees","/api/employees?locationId=${employee.location.id}"
"src/app/(admin)/scheduling/page.tsx",361,GET,"/api/schedules/{id}","/api/schedules/${scheduleId}"
"src/app/(admin)/scheduling/page.tsx",398,GET,"/api/schedules/{id}/shifts","/api/schedules/${selectedSchedule.id}/shifts"
"src/app/(admin)/scheduling/page.tsx",498,GET,"/api/schedules/{id}","/api/schedules/${selectedSchedule.id}"
"src/app/(admin)/settings/daily-counts/page.tsx",159,GET,"/api/inventory/prep-tray-configs/{id}","/api/inventory/prep-tray-configs/${trayId}"
"src/app/(admin)/settings/daily-counts/page.tsx",65,GET,"/api/inventory/prep-tray-configs","/api/inventory/prep-tray-configs?locationId=${locationId}"
"src/app/(admin)/settings/hardware/health/page.tsx",189,GET,"/api/hardware/readers/health","/api/hardware/readers/health?locationId=${locationId}"
"src/app/(admin)/settings/hardware/kds-screens/page.tsx",102,GET,"/api/hardware/kds-screens","/api/hardware/kds-screens?locationId=${locationId}"
"src/app/(admin)/settings/hardware/kds-screens/page.tsx",103,GET,"/api/prep-stations","/api/prep-stations?locationId=${locationId}"
"src/app/(admin)/settings/hardware/kds-screens/page.tsx",196,GET,"/api/hardware/kds-screens/{id}","/api/hardware/kds-screens/${screen.id}"
"src/app/(admin)/settings/hardware/kds-screens/page.tsx",220,GET,"/api/hardware/kds-screens/{id}/generate-code","/api/hardware/kds-screens/${screen.id}/generate-code"
"src/app/(admin)/settings/hardware/kds-screens/page.tsx",259,GET,"/api/hardware/kds-screens/{id}/unpair","/api/hardware/kds-screens/${screen.id}/unpair"
"src/app/(admin)/settings/hardware/page.tsx",137,GET,"/api/hardware/printers/{id}/ping","/api/hardware/printers/${printerId}/ping"
"src/app/(admin)/settings/hardware/page.tsx",83,GET,"/api/hardware/printers","/api/hardware/printers?locationId=${locationId}"
"src/app/(admin)/settings/hardware/page.tsx",84,GET,"/api/hardware/kds-screens","/api/hardware/kds-screens?locationId=${locationId}"
"src/app/(admin)/settings/hardware/page.tsx",85,GET,"/api/hardware/terminals","/api/hardware/terminals?locationId=${locationId}"
"src/app/(admin)/settings/hardware/page.tsx",86,GET,"/api/hardware/payment-readers","/api/hardware/payment-readers?locationId=${locationId}"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",393,GET,"/api/hardware/payment-readers","/api/hardware/payment-readers?locationId=${locationId}"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",406,GET,"/api/hardware/terminals","/api/hardware/terminals?locationId=${locationId}"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",427,GET,"/api/hardware/payment-readers/scan","/api/hardware/payment-readers/scan?locationId=${locationId}&networkTimeoutMs=4000"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",447,GET,"/api/hardware/payment-readers/{id}/ping","/api/hardware/payment-readers/${reader.id}/ping"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",465,GET,"/api/hardware/payment-readers/{id}/verify","/api/hardware/payment-readers/${reader.id}/verify"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",487,GET,"/api/hardware/payment-readers/{id}","/api/hardware/payment-readers/${reader.id}"
"src/app/(admin)/settings/hardware/payment-readers/page.tsx",535,GET,"/api/hardware/payment-readers/{id}","/api/hardware/payment-readers/${reader.id}"
"src/app/(admin)/settings/hardware/printers/page.tsx",177,GET,"/api/hardware/printers/{id}","/api/hardware/printers/${printer.id}"
"src/app/(admin)/settings/hardware/printers/page.tsx",193,GET,"/api/hardware/printers/{id}/ping","/api/hardware/printers/${printer.id}/ping"
"src/app/(admin)/settings/hardware/printers/page.tsx",223,GET,"/api/hardware/printers/{id}/test","/api/hardware/printers/${printer.id}/test"
"src/app/(admin)/settings/hardware/printers/page.tsx",248,GET,"/api/hardware/printers/{id}","/api/hardware/printers/${hardwareSettingsPrinter.id}"
"src/app/(admin)/settings/hardware/printers/page.tsx",267,GET,"/api/hardware/printers/{id}","/api/hardware/printers/${visualEditorPrinter.id}"
"src/app/(admin)/settings/hardware/printers/page.tsx",74,GET,"/api/hardware/printers","/api/hardware/printers?locationId=${locationId}"
"src/app/(admin)/settings/hardware/routing/page.tsx",127,GET,"/api/menu/categories/{id}","/api/menu/categories/${categoryId}"
"src/app/(admin)/settings/hardware/routing/page.tsx",149,GET,"/api/menu/items/{id}","/api/menu/items/${itemId}"
"src/app/(admin)/settings/hardware/terminals/page.tsx",110,GET,"/api/hardware/terminals/{id}","/api/hardware/terminals/${id}"
"src/app/(admin)/settings/hardware/terminals/page.tsx",121,GET,"/api/hardware/terminals/{id}","/api/hardware/terminals/${terminal.id}"
"src/app/(admin)/settings/hardware/terminals/page.tsx",138,GET,"/api/hardware/terminals/{id}/unpair","/api/hardware/terminals/${terminalId}/unpair"
"src/app/(admin)/settings/hardware/terminals/page.tsx",58,GET,"/api/hardware/terminals","/api/hardware/terminals?locationId=${locationId}"
"src/app/(admin)/settings/hardware/terminals/page.tsx",59,GET,"/api/hardware/printers","/api/hardware/printers?locationId=${locationId}&role=receipt"
"src/app/(admin)/settings/hardware/terminals/page.tsx",60,GET,"/api/employees/roles","/api/employees/roles?locationId=${locationId}"
"src/app/(admin)/settings/hardware/terminals/page.tsx",90,GET,"/api/hardware/terminals/{id}/generate-code","/api/hardware/terminals/${terminalId}/generate-code"
"src/app/(admin)/settings/online-ordering/hours/page.tsx",49,GET,"/api/settings/online-ordering","/api/settings/online-ordering?locationId=${locationId}"
"src/app/(admin)/settings/online-ordering/menu/page.tsx",124,GET,"/api/menu/categories/{id}","/api/menu/categories/${cat.id}"
